,bra size,cup size,fit,height,hips,item_id,length,quality,size,user_id,waist,hip_waist_ratio
3443,36.0,a,fit,67.0,39.224137931034484,141850,just right,4.0,15,291264,31.53448275862069,0.8039560439560439
3444,36.0,,fit,62.0,39.224137931034484,141850,just right,5.0,15,589235,31.53448275862069,0.8039560439560439
3461,34.0,d,fit,67.0,39.224137931034484,142426,just right,5.0,8,406230,31.53448275862069,0.8039560439560439
3479,36.0,c,fit,66.0,39.224137931034484,143287,very long,5.0,8,487678,31.53448275862069,0.8039560439560439
3481,34.0,a,fit,63.0,39.224137931034484,143287,just right,4.0,8,952983,31.53448275862069,0.8039560439560439
3482,36.0,dddd/g,small,61.0,39.224137931034484,143287,just right,3.0,15,135310,31.53448275862069,0.8039560439560439
3483,36.0,dddd/g,fit,68.0,39.224137931034484,143287,just right,5.0,15,363892,31.53448275862069,0.8039560439560439
3485,32.0,ddd/f,fit,70.0,39.224137931034484,143287,just right,5.0,8,207731,31.53448275862069,0.8039560439560439
3575,38.0,c,large,66.0,39.224137931034484,144486,just right,5.0,20,333519,31.53448275862069,0.8039560439560439
3576,38.0,ddd/f,fit,70.0,39.224137931034484,144486,slightly short,4.0,15,904442,31.53448275862069,0.8039560439560439
3577,34.0,c,large,62.0,39.224137931034484,144486,just right,3.0,8,508479,31.53448275862069,0.8039560439560439
3578,44.0,,fit,64.0,39.224137931034484,144486,just right,4.0,20,327664,31.53448275862069,0.8039560439560439
3580,36.0,d,large,66.0,39.224137931034484,144486,just right,5.0,4,157583,31.53448275862069,0.8039560439560439
3792,40.0,ddd/f,fit,63.0,39.224137931034484,144979,just right,4.0,21,251459,31.53448275862069,0.8039560439560439
3793,34.0,dddd/g,fit,68.0,39.224137931034484,144979,slightly short,4.0,13,128966,31.53448275862069,0.8039560439560439
3816,42.0,c,large,66.0,39.224137931034484,145349,just right,5.0,20,419944,31.53448275862069,0.8039560439560439
3818,36.0,c,fit,68.0,39.224137931034484,145349,just right,5.0,15,355129,31.53448275862069,0.8039560439560439
3821,32.0,a,fit,64.0,39.224137931034484,146231,just right,1.0,4,107727,31.53448275862069,0.8039560439560439
4750,34.0,b,fit,65.0,39.224137931034484,146231,just right,3.0,4,107403,31.53448275862069,0.8039560439560439
4751,38.0,d,fit,68.0,39.224137931034484,146231,just right,5.0,12,110298,31.53448275862069,0.8039560439560439
4752,32.0,a,fit,60.0,39.224137931034484,146231,slightly long,1.0,4,255552,31.53448275862069,0.8039560439560439
4753,,,fit,,39.224137931034484,146231,just right,2.0,8,484463,31.53448275862069,0.8039560439560439
4754,32.0,c,fit,66.0,39.224137931034484,146231,just right,4.0,8,768609,31.53448275862069,0.8039560439560439
4755,32.0,a,fit,64.0,39.224137931034484,146231,just right,4.0,4,798418,31.53448275862069,0.8039560439560439
4756,34.0,b,small,61.0,39.224137931034484,146231,just right,3.0,8,339001,31.53448275862069,0.8039560439560439
4757,30.0,ddd/f,small,62.0,39.224137931034484,146231,just right,3.0,8,915686,31.53448275862069,0.8039560439560439
4758,32.0,c,fit,66.0,39.224137931034484,146231,just right,4.0,8,721308,31.53448275862069,0.8039560439560439
4759,40.0,d,fit,64.0,39.224137931034484,146808,slightly long,5.0,18,15213,31.53448275862069,0.8039560439560439
4760,38.0,c,fit,70.0,39.224137931034484,146808,just right,5.0,15,576572,31.53448275862069,0.8039560439560439
4762,32.0,c,large,58.0,39.224137931034484,146808,slightly long,5.0,3,284945,31.53448275862069,0.8039560439560439
4763,34.0,ddd/f,fit,66.0,39.224137931034484,146808,just right,5.0,9,150907,31.53448275862069,0.8039560439560439
4802,42.0,dd/e,fit,63.0,39.224137931034484,147714,slightly short,5.0,26,478670,31.53448275862069,0.8039560439560439
4803,34.0,c,fit,,39.224137931034484,147714,just right,5.0,4,474938,31.53448275862069,0.8039560439560439
4804,,,fit,67.0,39.224137931034484,147714,just right,3.0,15,446041,31.53448275862069,0.8039560439560439
4805,36.0,,fit,64.0,39.224137931034484,147714,just right,4.0,12,76638,31.53448275862069,0.8039560439560439
4807,32.0,c,fit,63.0,39.224137931034484,147714,slightly long,2.0,1,52556,31.53448275862069,0.8039560439560439
5325,34.0,b,fit,69.0,39.224137931034484,148292,slightly short,5.0,4,556677,31.53448275862069,0.8039560439560439
5326,34.0,d,fit,65.0,39.224137931034484,148292,very long,5.0,12,144560,31.53448275862069,0.8039560439560439
5327,36.0,b,fit,68.0,39.224137931034484,148292,just right,4.0,8,573781,31.53448275862069,0.8039560439560439
5332,34.0,c,small,64.0,39.224137931034484,148998,just right,5.0,8,184106,31.53448275862069,0.8039560439560439
5333,32.0,d,fit,67.0,39.224137931034484,148998,just right,5.0,8,818115,31.53448275862069,0.8039560439560439
5334,32.0,c,fit,70.0,39.224137931034484,149735,slightly short,3.0,8,784264,31.53448275862069,0.8039560439560439
5336,34.0,b,fit,62.0,39.224137931034484,149735,just right,3.0,1,682003,31.53448275862069,0.8039560439560439
5337,34.0,b,small,67.0,39.224137931034484,149735,just right,1.0,4,661546,31.53448275862069,0.8039560439560439
5338,34.0,c,fit,64.0,39.224137931034484,150139,just right,5.0,8,895807,31.53448275862069,0.8039560439560439
5339,34.0,b,fit,66.0,39.224137931034484,150139,just right,4.0,4,273981,31.53448275862069,0.8039560439560439
5340,34.0,dd/e,fit,66.0,39.224137931034484,150139,just right,5.0,4,616954,31.53448275862069,0.8039560439560439
5344,36.0,c,fit,69.0,39.224137931034484,151045,slightly short,4.0,15,255270,31.53448275862069,0.8039560439560439
5345,38.0,d,fit,69.0,39.224137931034484,151045,just right,4.0,20,440339,31.53448275862069,0.8039560439560439
5793,36.0,b,fit,64.0,39.224137931034484,151160,slightly long,1.0,7,821689,31.53448275862069,0.8039560439560439
5798,38.0,dd/e,fit,67.0,39.224137931034484,151160,slightly long,2.0,18,658002,31.53448275862069,0.8039560439560439
5800,38.0,j,small,70.0,39.224137931034484,151160,slightly long,2.0,18,212367,31.53448275862069,0.8039560439560439
5802,32.0,d,fit,63.0,39.224137931034484,151160,just right,5.0,3,123954,31.53448275862069,0.8039560439560439
5803,32.0,a,large,62.0,39.224137931034484,151160,just right,4.0,3,345546,31.53448275862069,0.8039560439560439
5852,32.0,c,large,63.0,39.224137931034484,151692,just right,5.0,4,899982,31.53448275862069,0.8039560439560439
5853,32.0,a,large,67.0,39.224137931034484,151692,just right,2.0,4,965579,31.53448275862069,0.8039560439560439
5854,30.0,dd/e,fit,62.0,39.224137931034484,151692,just right,5.0,4,814523,31.53448275862069,0.8039560439560439
5855,36.0,c,fit,63.0,39.224137931034484,152513,just right,4.0,12,442885,31.53448275862069,0.8039560439560439
5856,34.0,d,small,65.0,39.224137931034484,152513,just right,4.0,12,836835,31.53448275862069,0.8039560439560439
5857,34.0,dd/e,fit,64.0,39.224137931034484,152513,just right,4.0,12,226906,31.53448275862069,0.8039560439560439
5859,38.0,b,fit,67.0,39.224137931034484,152513,just right,5.0,12,200253,31.53448275862069,0.8039560439560439
5860,38.0,d,fit,61.0,39.224137931034484,152513,just right,5.0,15,348085,31.53448275862069,0.8039560439560439
5862,36.0,a,large,64.0,39.224137931034484,152513,just right,4.0,12,937790,31.53448275862069,0.8039560439560439
5863,44.0,ddd/f,fit,68.0,39.224137931034484,152513,just right,4.0,38,857349,31.53448275862069,0.8039560439560439
5864,34.0,c,fit,67.0,39.224137931034484,152513,just right,5.0,12,813341,31.53448275862069,0.8039560439560439
5866,38.0,ddd/f,small,67.0,39.224137931034484,152513,just right,5.0,26,971451,31.53448275862069,0.8039560439560439
5871,36.0,c,fit,63.0,39.224137931034484,152513,just right,5.0,8,687330,31.53448275862069,0.8039560439560439
5872,38.0,d,fit,67.0,39.224137931034484,152513,just right,5.0,15,388767,31.53448275862069,0.8039560439560439
5874,36.0,,fit,62.0,39.224137931034484,152513,just right,5.0,15,794379,31.53448275862069,0.8039560439560439
5875,32.0,c,large,70.0,39.224137931034484,152513,just right,3.0,12,627502,31.53448275862069,0.8039560439560439
5876,36.0,c,fit,63.0,39.224137931034484,152513,just right,4.0,12,276739,31.53448275862069,0.8039560439560439
5877,,b,fit,64.0,39.224137931034484,152513,just right,4.0,12,160083,31.53448275862069,0.8039560439560439
6725,32.0,b,small,66.0,39.224137931034484,152702,just right,4.0,4,668176,31.53448275862069,0.8039560439560439
6726,34.0,c,fit,66.0,39.224137931034484,152702,slightly short,5.0,4,320759,31.53448275862069,0.8039560439560439
6728,32.0,c,fit,61.0,39.224137931034484,152702,slightly long,3.0,4,52664,31.53448275862069,0.8039560439560439
6729,32.0,c,fit,66.0,39.224137931034484,152702,just right,5.0,4,155439,31.53448275862069,0.8039560439560439
6730,34.0,d,small,70.0,39.224137931034484,152702,very short,4.0,8,944346,31.53448275862069,0.8039560439560439
7337,36.0,aa,small,66.0,39.224137931034484,153494,just right,2.0,8,614599,31.53448275862069,0.8039560439560439
7865,,,large,64.0,39.224137931034484,153798,just right,2.0,1,458782,31.53448275862069,0.8039560439560439
7866,36.0,ddd/f,fit,66.0,39.224137931034484,154411,just right,5.0,20,600401,31.53448275862069,0.8039560439560439
7867,36.0,a,fit,71.0,39.224137931034484,154411,slightly short,5.0,12,674453,31.53448275862069,0.8039560439560439
7868,36.0,dd/e,fit,65.0,39.224137931034484,154411,slightly short,5.0,15,795038,31.53448275862069,0.8039560439560439
7869,36.0,dddd/g,fit,61.0,39.224137931034484,154411,just right,5.0,15,135310,31.53448275862069,0.8039560439560439
7872,38.0,ddd/f,fit,62.0,39.224137931034484,154411,just right,5.0,15,550624,31.53448275862069,0.8039560439560439
7873,34.0,b,fit,62.0,39.224137931034484,154411,just right,5.0,8,184506,31.53448275862069,0.8039560439560439
7874,34.0,c,small,70.0,39.224137931034484,154411,just right,3.0,15,817891,31.53448275862069,0.8039560439560439
7875,38.0,d,fit,65.0,39.224137931034484,154411,just right,4.0,12,564080,31.53448275862069,0.8039560439560439
8045,32.0,d,fit,66.0,39.224137931034484,155256,,4.0,8,122732,31.53448275862069,0.8039560439560439
8046,34.0,dd/e,fit,63.0,39.224137931034484,155256,just right,5.0,8,335459,31.53448275862069,0.8039560439560439
8047,34.0,c,fit,63.0,39.224137931034484,155256,just right,4.0,4,338899,31.53448275862069,0.8039560439560439
8048,34.0,ddd/f,fit,67.0,39.224137931034484,155256,just right,5.0,12,721843,31.53448275862069,0.8039560439560439
8050,34.0,c,fit,64.0,39.224137931034484,155256,just right,5.0,12,672971,31.53448275862069,0.8039560439560439
8053,36.0,a,fit,70.0,39.224137931034484,155256,just right,5.0,8,295074,31.53448275862069,0.8039560439560439
8095,38.0,d,fit,63.0,39.224137931034484,155530,just right,4.0,12,759063,31.53448275862069,0.8039560439560439
8096,34.0,d,fit,61.0,39.224137931034484,155530,just right,4.0,12,686195,31.53448275862069,0.8039560439560439
8098,36.0,dd/e,fit,67.0,39.224137931034484,155530,just right,4.0,12,526533,31.53448275862069,0.8039560439560439
8099,,dd/e,fit,65.0,39.224137931034484,155530,just right,5.0,26,155324,31.53448275862069,0.8039560439560439
8362,36.0,b,fit,67.0,39.224137931034484,155981,just right,4.0,8,640650,31.53448275862069,0.8039560439560439
8363,34.0,b,fit,68.0,39.224137931034484,155981,slightly long,4.0,8,968866,31.53448275862069,0.8039560439560439
8364,36.0,c,fit,66.0,39.224137931034484,155981,slightly long,4.0,15,254191,31.53448275862069,0.8039560439560439
8365,36.0,b,fit,65.0,39.224137931034484,155981,slightly long,5.0,8,461082,31.53448275862069,0.8039560439560439
8366,34.0,b,fit,64.0,39.224137931034484,155981,slightly long,5.0,8,10043,31.53448275862069,0.8039560439560439
8371,38.0,c,fit,63.0,39.224137931034484,156364,slightly short,4.0,12,74438,31.53448275862069,0.8039560439560439
8445,38.0,,small,62.0,39.224137931034484,157334,slightly long,2.0,15,323151,31.53448275862069,0.8039560439560439
8446,38.0,d,large,66.0,39.224137931034484,157334,just right,4.0,26,57852,31.53448275862069,0.8039560439560439
8448,36.0,dd/e,fit,64.0,39.224137931034484,157334,just right,5.0,15,731348,31.53448275862069,0.8039560439560439
8450,32.0,d,fit,70.0,39.224137931034484,157334,just right,5.0,8,443239,31.53448275862069,0.8039560439560439
8451,36.0,c,fit,68.0,39.224137931034484,157334,just right,4.0,12,171447,31.53448275862069,0.8039560439560439
8452,34.0,c,small,66.0,39.224137931034484,157334,just right,5.0,8,970335,31.53448275862069,0.8039560439560439
8453,,b,large,62.0,39.224137931034484,157334,slightly long,4.0,4,789251,31.53448275862069,0.8039560439560439
8471,36.0,,fit,62.0,39.224137931034484,159706,just right,5.0,15,794379,31.53448275862069,0.8039560439560439
8473,34.0,b,small,67.0,39.224137931034484,159706,just right,4.0,12,490075,31.53448275862069,0.8039560439560439
8490,32.0,a,fit,64.0,39.224137931034484,159891,just right,5.0,1,240386,31.53448275862069,0.8039560439560439
8493,36.0,d,fit,62.0,39.224137931034484,159891,just right,3.0,8,439693,31.53448275862069,0.8039560439560439
8521,32.0,a,large,65.0,39.224137931034484,160625,just right,5.0,5,246333,31.53448275862069,0.8039560439560439
8523,38.0,d,small,67.0,39.224137931034484,160625,just right,4.0,11,194706,31.53448275862069,0.8039560439560439
8524,34.0,b,fit,65.0,39.224137931034484,160625,just right,5.0,7,715720,31.53448275862069,0.8039560439560439
8525,38.0,dd/e,fit,63.0,39.224137931034484,160625,just right,4.0,13,682731,31.53448275862069,0.8039560439560439
8529,44.0,,fit,67.0,39.224137931034484,160625,just right,5.0,27,462814,31.53448275862069,0.8039560439560439
8530,36.0,b,small,68.0,39.224137931034484,160625,just right,5.0,5,392941,31.53448275862069,0.8039560439560439
8531,36.0,dd/e,fit,64.0,39.224137931034484,160625,slightly long,5.0,15,221733,31.53448275862069,0.8039560439560439
8534,34.0,c,small,60.0,39.224137931034484,160625,very long,4.0,7,188782,31.53448275862069,0.8039560439560439
8535,36.0,d,fit,67.0,39.224137931034484,160625,just right,5.0,18,416372,31.53448275862069,0.8039560439560439
8536,34.0,a,fit,62.0,39.224137931034484,160625,just right,4.0,7,913488,31.53448275862069,0.8039560439560439
8537,,,large,62.0,39.224137931034484,160625,just right,,11,792186,31.53448275862069,0.8039560439560439
8548,36.0,d,fit,65.0,39.224137931034484,161320,just right,4.0,12,245614,31.53448275862069,0.8039560439560439
8549,32.0,c,fit,62.0,39.224137931034484,161320,slightly long,4.0,4,98585,31.53448275862069,0.8039560439560439
8550,32.0,dd/e,large,71.0,39.224137931034484,161320,just right,4.0,15,672113,31.53448275862069,0.8039560439560439
8552,38.0,c,fit,64.0,39.224137931034484,161320,just right,5.0,15,418351,31.53448275862069,0.8039560439560439
8553,36.0,dd/e,small,65.0,39.224137931034484,161320,just right,5.0,15,317469,31.53448275862069,0.8039560439560439
8554,32.0,b,fit,65.0,39.224137931034484,161320,slightly long,3.0,4,713897,31.53448275862069,0.8039560439560439
8555,38.0,d,fit,71.0,39.224137931034484,161320,just right,4.0,15,584721,31.53448275862069,0.8039560439560439
8557,38.0,d,small,70.0,39.224137931034484,161320,just right,4.0,15,657734,31.53448275862069,0.8039560439560439
8558,28.0,c,fit,62.0,39.224137931034484,161320,just right,3.0,1,121128,31.53448275862069,0.8039560439560439
8559,34.0,b,small,66.0,39.224137931034484,161320,slightly long,4.0,8,195932,31.53448275862069,0.8039560439560439
8560,34.0,b,small,68.0,39.224137931034484,161320,just right,4.0,4,549329,31.53448275862069,0.8039560439560439
8561,36.0,dd/e,fit,67.0,39.224137931034484,161320,just right,3.0,12,824639,31.53448275862069,0.8039560439560439
8562,36.0,b,fit,63.0,39.224137931034484,161514,just right,2.0,8,936503,31.53448275862069,0.8039560439560439
8563,34.0,b,fit,65.0,39.224137931034484,161514,just right,5.0,4,438485,31.53448275862069,0.8039560439560439
8564,36.0,d,fit,64.0,39.224137931034484,161514,just right,4.0,12,527492,31.53448275862069,0.8039560439560439
8565,36.0,c,small,,39.224137931034484,161514,slightly short,3.0,12,827434,31.53448275862069,0.8039560439560439
8566,34.0,c,fit,62.0,39.224137931034484,161514,just right,5.0,4,467562,31.53448275862069,0.8039560439560439
8567,36.0,dd/e,fit,62.0,39.224137931034484,161514,just right,5.0,12,984733,31.53448275862069,0.8039560439560439
8569,36.0,ddd/f,small,65.0,39.224137931034484,161514,just right,2.0,15,605603,31.53448275862069,0.8039560439560439
8572,34.0,b,fit,65.0,39.224137931034484,161514,just right,5.0,4,744124,31.53448275862069,0.8039560439560439
9336,36.0,ddd/f,fit,65.0,39.224137931034484,161592,just right,4.0,13,505850,31.53448275862069,0.8039560439560439
9337,36.0,c,fit,62.0,39.224137931034484,161592,just right,5.0,11,258039,31.53448275862069,0.8039560439560439
9338,40.0,dd/e,fit,60.0,39.224137931034484,161592,just right,4.0,18,625185,31.53448275862069,0.8039560439560439
9339,36.0,d,fit,61.0,39.224137931034484,161592,just right,5.0,7,999674,31.53448275862069,0.8039560439560439
9341,36.0,c,fit,67.0,39.224137931034484,161592,just right,4.0,9,440986,31.53448275862069,0.8039560439560439
9342,38.0,ddd/f,fit,65.0,39.224137931034484,161592,slightly long,5.0,18,972023,31.53448275862069,0.8039560439560439
9345,38.0,d,fit,61.0,39.224137931034484,161592,just right,5.0,15,767375,31.53448275862069,0.8039560439560439
9348,36.0,b,fit,61.0,39.224137931034484,161592,just right,5.0,13,377908,31.53448275862069,0.8039560439560439
9351,30.0,h,small,66.0,39.224137931034484,161592,just right,4.0,13,597886,31.53448275862069,0.8039560439560439
9356,34.0,ddd/f,small,60.0,39.224137931034484,161592,just right,5.0,13,432375,31.53448275862069,0.8039560439560439
9359,36.0,b,fit,64.0,39.224137931034484,161592,just right,5.0,13,19274,31.53448275862069,0.8039560439560439
9362,32.0,c,fit,65.0,39.224137931034484,161592,just right,5.0,18,992121,31.53448275862069,0.8039560439560439
9363,44.0,ddd/f,small,64.0,39.224137931034484,161592,just right,5.0,18,254961,31.53448275862069,0.8039560439560439
9365,36.0,c,fit,68.0,39.224137931034484,161592,just right,4.0,11,798506,31.53448275862069,0.8039560439560439
9367,38.0,dd/e,fit,64.0,39.224137931034484,161592,just right,5.0,33,842305,31.53448275862069,0.8039560439560439
9368,36.0,c,small,64.0,39.224137931034484,161592,just right,5.0,9,898375,31.53448275862069,0.8039560439560439
9370,32.0,b,fit,63.0,39.224137931034484,161592,just right,4.0,5,680836,31.53448275862069,0.8039560439560439
9962,36.0,,fit,62.0,39.224137931034484,161789,just right,3.0,15,589235,31.53448275862069,0.8039560439560439
9991,34.0,dd/e,fit,63.0,39.224137931034484,162470,just right,4.0,12,673872,31.53448275862069,0.8039560439560439
9994,32.0,c,large,65.0,39.224137931034484,162470,just right,5.0,8,253431,31.53448275862069,0.8039560439560439
9995,36.0,c,fit,68.0,39.224137931034484,162470,just right,3.0,12,171447,31.53448275862069,0.8039560439560439
9996,28.0,c,fit,67.0,39.224137931034484,162470,just right,5.0,4,250444,31.53448275862069,0.8039560439560439
9997,36.0,d,fit,66.0,39.224137931034484,162470,slightly short,4.0,12,188398,31.53448275862069,0.8039560439560439
9998,32.0,b,fit,68.0,39.224137931034484,162470,slightly short,4.0,4,576257,31.53448275862069,0.8039560439560439
10209,36.0,dd/e,fit,66.0,39.224137931034484,162937,just right,4.0,12,592097,31.53448275862069,0.8039560439560439
