,bra size,cup size,fit,height,hips,item_id,length,quality,size,user_id,waist,hip_waist_ratio
64,32.0,c,fit,66.0,,124024,just right,5.0,5,73654,,0.8475235268649493
66,44.0,c,fit,67.0,,124024,just right,5.0,18,600336,,0.8475235268649493
77,40.0,c,fit,65.0,45.0,124124,just right,4.0,26,70720,38.0,0.8444444444444444
78,36.0,ddd/f,fit,61.0,40.0,124124,just right,4.0,15,582644,34.0,0.85
87,40.0,dd/e,fit,61.0,,124124,just right,5.0,20,367597,,0.8475235268649493
88,44.0,c,fit,66.0,,124124,just right,4.0,26,407556,,0.8475235268649493
91,38.0,d,fit,61.0,46.0,124124,just right,5.0,15,440777,39.0,0.8478260869565217
94,44.0,d,fit,69.0,,124124,just right,4.0,32,360323,,0.8475235268649493
98,34.0,c,fit,66.0,38.0,124124,just right,4.0,8,485671,32.0,0.8421052631578947
105,38.0,ddd/f,fit,64.0,,124124,just right,5.0,26,368102,,0.8475235268649493
111,38.0,h,fit,63.0,39.0,124124,just right,4.0,15,910754,33.0,0.8461538461538461
112,38.0,d,fit,65.0,33.0,124124,just right,5.0,20,276919,28.0,0.8484848484848485
114,40.0,d,fit,61.0,51.0,124124,just right,4.0,26,668747,43.0,0.8431372549019608
115,40.0,d,fit,62.0,,124124,just right,5.0,8,451290,,0.8475235268649493
120,38.0,h,fit,64.0,42.0,124124,just right,4.0,26,802351,36.0,0.8571428571428571
122,,,fit,64.0,,124124,just right,4.0,20,730931,,0.8475235268649493
123,34.0,b,fit,66.0,35.0,124124,just right,4.0,8,413689,30.0,0.8571428571428571
128,42.0,c,fit,64.0,,124124,just right,4.0,26,613097,,0.8475235268649493
136,38.0,c,fit,68.0,,124124,just right,5.0,20,368074,,0.8475235268649493
142,36.0,dd/e,fit,66.0,46.0,124124,just right,4.0,15,452546,39.0,0.8478260869565217
143,38.0,c,fit,62.0,60.0,124124,just right,5.0,26,953996,51.0,0.85
149,38.0,d,fit,65.0,48.0,124124,just right,4.0,20,86825,41.0,0.8541666666666666
152,46.0,dd/e,fit,66.0,59.0,124124,just right,5.0,38,346932,50.0,0.847457627118644
155,36.0,ddd/f,fit,60.0,40.0,124124,just right,4.0,20,111055,34.0,0.85
159,38.0,dd/e,fit,62.0,,124124,just right,5.0,12,854042,,0.8475235268649493
160,38.0,c,fit,68.0,45.0,124124,just right,4.0,15,193255,38.0,0.8444444444444444
163,36.0,dd/e,fit,63.0,35.0,124124,just right,4.0,12,244251,30.0,0.8571428571428571
167,40.0,dd/e,fit,68.0,40.0,124124,just right,5.0,26,791179,34.0,0.85
168,38.0,d,fit,62.0,,124124,just right,5.0,15,975905,,0.8475235268649493
171,42.0,c,fit,62.0,54.0,124124,just right,5.0,26,777921,46.0,0.8518518518518519
175,32.0,dd/e,fit,63.0,39.0,124124,just right,5.0,12,21714,33.0,0.8461538461538461
180,38.0,h,fit,67.0,44.0,124124,just right,4.0,20,397165,37.0,0.8409090909090909
181,38.0,d,fit,62.0,,124124,just right,5.0,20,502277,,0.8475235268649493
182,32.0,c,fit,64.0,,124124,just right,4.0,8,720681,,0.8475235268649493
186,34.0,dd/e,fit,64.0,40.0,124124,just right,4.0,15,223099,34.0,0.85
187,36.0,b,fit,65.0,,124124,just right,5.0,12,601038,,0.8475235268649493
189,,,fit,65.0,,124124,just right,4.0,26,651864,,0.8475235268649493
191,36.0,d,fit,67.0,43.0,124124,just right,4.0,12,308162,37.0,0.8604651162790697
194,34.0,h,fit,63.0,,124124,just right,5.0,12,343028,,0.8475235268649493
202,38.0,dd/e,fit,66.0,50.0,124124,just right,4.0,26,892449,42.0,0.84
203,42.0,ddd/f,fit,66.0,,124124,just right,4.0,32,195784,,0.8475235268649493
206,46.0,c,fit,68.0,,124124,just right,4.0,32,167274,,0.8475235268649493
207,38.0,d,fit,64.0,,124124,just right,4.0,12,704684,,0.8475235268649493
208,38.0,c,fit,66.0,50.0,124124,just right,4.0,20,25740,42.0,0.84
209,38.0,ddd/f,fit,68.0,44.0,124124,just right,4.0,20,913549,37.0,0.8409090909090909
210,,,fit,67.0,,124124,just right,4.0,38,179658,,0.8475235268649493
213,40.0,d,fit,65.07546831585552,,124124,just right,4.0,20,121007,,0.8475235268649493
219,44.0,b,fit,68.0,,124124,just right,4.0,38,510219,,0.8475235268649493
222,38.0,d,fit,63.0,44.0,124124,just right,5.0,20,454870,37.0,0.8409090909090909
224,38.0,c,fit,67.0,,124124,just right,4.0,26,334357,,0.8475235268649493
225,38.0,ddd/f,fit,62.0,38.0,124124,just right,5.0,12,561529,32.0,0.8421052631578947
226,38.0,c,fit,60.0,30.0,124124,just right,5.0,8,20806,26.0,0.8666666666666667
227,38.0,c,fit,66.0,,124124,just right,4.0,26,197038,,0.8475235268649493
228,40.0,c,fit,66.0,,124124,just right,5.0,26,408981,,0.8475235268649493
234,38.0,dd/e,fit,61.0,37.0,124124,just right,5.0,20,273148,31.0,0.8378378378378378
235,38.0,b,fit,63.0,40.0,124124,just right,4.0,12,922240,34.0,0.85
238,38.0,d,fit,64.0,44.0,124124,just right,5.0,12,472284,37.0,0.8409090909090909
243,38.0,d,fit,62.0,46.0,124761,just right,4.0,13,451128,39.0,0.8478260869565217
246,34.0,c,fit,68.0,35.0,124761,just right,4.0,7,52743,30.0,0.8571428571428571
248,34.0,d,fit,61.0,44.0,124761,just right,5.0,11,245699,37.0,0.8409090909090909
252,34.0,c,fit,62.0,,124761,just right,4.0,5,689341,,0.8475235268649493
256,32.0,dd/e,fit,62.0,39.0,124761,just right,5.0,5,572100,33.0,0.8461538461538461
257,32.0,b,fit,70.0,,124761,just right,5.0,5,184310,,0.8475235268649493
258,38.0,c,fit,68.0,39.0,124761,just right,4.0,9,643471,33.0,0.8461538461538461
261,36.0,c,fit,68.0,,124761,just right,5.0,13,590424,,0.8475235268649493
263,32.0,d,fit,62.0,34.0,124761,just right,5.0,5,813163,29.0,0.8529411764705882
265,34.0,b,fit,63.0,,124761,just right,4.0,5,334041,,0.8475235268649493
269,32.0,c,fit,66.0,39.0,124761,just right,5.0,7,423694,33.0,0.8461538461538461
272,36.0,b,fit,68.0,40.0,124761,just right,4.0,9,793399,34.0,0.85
275,36.0,h,fit,67.0,38.0,124761,just right,4.0,11,554754,32.0,0.8421052631578947
277,36.0,dd/e,fit,67.0,38.0,124761,just right,4.0,9,871730,32.0,0.8421052631578947
278,36.0,d,fit,71.0,,124761,just right,5.0,9,4113,,0.8475235268649493
280,,,fit,66.0,37.0,124761,just right,4.0,5,672771,31.0,0.8378378378378378
281,34.0,d,fit,65.0,38.0,124761,just right,4.0,9,776022,32.0,0.8421052631578947
284,36.0,b,fit,71.0,,124761,just right,4.0,11,855095,,0.8475235268649493
287,32.0,a,fit,63.0,,124761,just right,4.0,5,317961,,0.8475235268649493
288,34.0,d,fit,66.0,34.0,124761,just right,5.0,7,618436,29.0,0.8529411764705882
292,32.0,b,fit,63.0,32.0,124761,just right,5.0,5,598433,27.0,0.84375
296,34.0,b,fit,64.0,,124761,just right,5.0,9,935726,,0.8475235268649493
297,34.0,dd/e,fit,70.0,32.0,124761,just right,4.0,7,770621,27.0,0.84375
298,,,fit,64.0,,125353,just right,5.0,15,623140,,0.8475235268649493
299,34.0,c,fit,67.0,36.0,125442,just right,5.0,11,575252,31.0,0.8611111111111112
301,38.0,ddd/f,fit,64.0,48.0,125442,just right,5.0,21,218438,41.0,0.8541666666666666
303,34.0,d,fit,65.0,37.0,125442,just right,4.0,7,695325,31.0,0.8378378378378378
305,36.0,dd/e,fit,67.0,39.0,125442,just right,5.0,13,912828,33.0,0.8461538461538461
306,32.0,a,fit,64.0,33.0,125442,just right,5.0,5,650199,28.0,0.8484848484848485
307,32.0,ddd/f,fit,64.0,,125442,just right,5.0,11,565878,,0.8475235268649493
308,42.0,ddd/f,fit,60.0,53.0,125442,just right,5.0,27,968630,45.0,0.8490566037735849
311,32.0,ddd/f,fit,60.0,,125442,just right,5.0,5,715648,,0.8475235268649493
314,32.0,aa,fit,62.0,,125442,just right,5.0,5,836994,,0.8475235268649493
315,34.0,c,fit,67.0,38.0,125442,just right,5.0,7,156100,32.0,0.8421052631578947
318,36.0,c,fit,63.0,40.0,125442,just right,4.0,9,485423,34.0,0.85
319,34.0,c,fit,66.0,32.0,125442,just right,5.0,13,263722,27.0,0.84375
320,36.0,c,fit,65.0,45.0,125442,just right,5.0,13,233175,38.0,0.8444444444444444
321,34.0,dd/e,fit,65.0,37.0,125442,just right,5.0,11,538169,31.0,0.8378378378378378
322,34.0,c,fit,70.0,37.0,125442,just right,5.0,5,453091,31.0,0.8378378378378378
323,34.0,a,fit,66.0,36.0,125442,just right,5.0,5,522903,31.0,0.8611111111111112
324,38.0,b,fit,66.0,51.0,125442,just right,4.0,24,738687,43.0,0.8431372549019608
329,34.0,dddd/g,fit,64.0,44.0,125442,just right,5.0,9,572531,37.0,0.8409090909090909
338,32.0,d,fit,62.0,32.0,125442,just right,5.0,7,788153,27.0,0.84375
343,36.0,b,fit,65.0,,125442,just right,5.0,7,683420,,0.8475235268649493
344,34.0,b,fit,62.0,35.0,125442,just right,5.0,5,689227,30.0,0.8571428571428571
346,34.0,dd/e,fit,64.0,38.0,125442,just right,4.0,7,128265,32.0,0.8421052631578947
347,34.0,c,fit,64.0,39.0,125442,just right,4.0,9,661301,33.0,0.8461538461538461
350,34.0,dd/e,fit,65.0,38.0,125442,just right,5.0,11,613965,32.0,0.8421052631578947
351,32.0,c,fit,64.0,35.0,125442,just right,5.0,5,496294,30.0,0.8571428571428571
352,,,fit,66.0,,125442,just right,4.0,7,71788,,0.8475235268649493
356,36.0,a,fit,68.0,44.0,125442,just right,5.0,7,545473,37.0,0.8409090909090909
357,34.0,a,fit,66.0,36.0,125442,just right,4.0,5,633683,31.0,0.8611111111111112
358,32.0,c,fit,64.0,35.0,125442,just right,4.0,5,6925,30.0,0.8571428571428571
360,34.0,dddd/g,fit,59.0,,125442,just right,4.0,11,397385,,0.8475235268649493
362,38.0,c,fit,63.0,38.0,125442,just right,5.0,13,338545,32.0,0.8421052631578947
364,32.0,c,fit,68.0,,125442,just right,4.0,7,806044,,0.8475235268649493
365,34.0,d,fit,66.0,37.0,125442,just right,5.0,9,395257,31.0,0.8378378378378378
367,34.0,dd/e,fit,66.0,,125442,just right,4.0,7,123838,,0.8475235268649493
369,34.0,aa,fit,63.0,,125442,just right,4.0,5,755343,,0.8475235268649493
372,36.0,d,fit,66.0,38.0,125442,just right,5.0,11,759099,32.0,0.8421052631578947
373,34.0,b,fit,66.0,37.0,125442,just right,4.0,7,155352,31.0,0.8378378378378378
374,38.0,c,fit,68.0,42.0,125442,just right,5.0,11,175197,36.0,0.8571428571428571
377,34.0,d,fit,62.0,,125442,just right,5.0,5,425486,,0.8475235268649493
378,34.0,c,fit,62.0,35.0,125442,just right,4.0,5,493255,30.0,0.8571428571428571
380,36.0,c,fit,66.0,,125442,just right,4.0,7,881893,,0.8475235268649493
386,36.0,c,fit,62.0,,125442,just right,5.0,7,697515,,0.8475235268649493
391,36.0,c,fit,61.0,33.0,125442,just right,5.0,7,29263,28.0,0.8484848484848485
394,38.0,d,fit,63.0,,125442,just right,4.0,21,48192,,0.8475235268649493
395,36.0,d,fit,62.0,38.0,125442,just right,5.0,7,763181,32.0,0.8421052631578947
396,36.0,b,fit,66.0,42.0,125442,just right,4.0,9,836646,36.0,0.8571428571428571
398,32.0,c,fit,68.0,35.0,125442,just right,4.0,5,596165,30.0,0.8571428571428571
400,36.0,c,fit,58.0,45.0,125442,just right,5.0,9,113686,38.0,0.8444444444444444
409,36.0,d,fit,70.0,,125442,just right,4.0,9,900640,,0.8475235268649493
411,34.0,c,fit,66.0,38.0,125442,just right,4.0,7,953240,32.0,0.8421052631578947
412,34.0,c,fit,64.0,41.0,125442,just right,5.0,7,213255,35.0,0.8536585365853658
413,32.0,dddd/g,fit,63.0,39.0,125442,just right,4.0,11,326443,33.0,0.8461538461538461
415,32.0,b,fit,67.0,35.0,125442,just right,5.0,5,861809,30.0,0.8571428571428571
416,32.0,a,fit,68.0,,125442,just right,4.0,5,850183,,0.8475235268649493
418,36.0,i,fit,62.0,35.0,125442,just right,5.0,21,698028,30.0,0.8571428571428571
420,38.0,dd/e,fit,64.0,44.0,125442,just right,5.0,15,460756,37.0,0.8409090909090909
422,32.0,c,fit,66.0,36.0,125442,just right,4.0,7,12475,31.0,0.8611111111111112
423,34.0,c,fit,65.07546831585552,,125442,just right,5.0,7,563612,,0.8475235268649493
424,34.0,b,fit,67.0,,125442,just right,5.0,7,565898,,0.8475235268649493
425,36.0,d,fit,63.0,44.0,125442,just right,5.0,13,445407,37.0,0.8409090909090909
429,36.0,c,fit,65.0,35.0,125442,just right,5.0,9,455134,30.0,0.8571428571428571
431,34.0,dd/e,fit,63.0,40.0,125442,just right,4.0,7,726645,34.0,0.85
432,,,fit,66.0,,125442,just right,5.0,7,657047,,0.8475235268649493
434,34.0,dd/e,fit,65.0,,125442,just right,5.0,9,413201,,0.8475235268649493
435,36.0,a,fit,66.0,,125442,just right,4.0,7,986116,,0.8475235268649493
436,38.0,c,fit,61.0,,125442,just right,5.0,18,324300,,0.8475235268649493
438,32.0,b,fit,63.0,39.0,125442,just right,4.0,9,826823,33.0,0.8461538461538461
439,36.0,b,fit,60.0,38.0,125442,just right,5.0,7,76737,32.0,0.8421052631578947
440,36.0,b,fit,62.0,38.0,125442,just right,5.0,7,175423,32.0,0.8421052631578947
443,34.0,b,fit,65.0,36.0,125442,just right,5.0,7,976308,31.0,0.8611111111111112
444,36.0,c,fit,66.0,,125442,just right,5.0,11,367606,,0.8475235268649493
446,34.0,d,fit,65.0,,125442,just right,4.0,7,418662,,0.8475235268649493
447,36.0,c,fit,63.0,,125442,just right,5.0,11,847509,,0.8475235268649493
449,44.0,ddd/f,fit,62.0,,125442,just right,5.0,18,294730,,0.8475235268649493
451,34.0,d,fit,64.0,,125442,just right,5.0,9,41548,,0.8475235268649493
453,36.0,d,fit,67.0,40.0,125442,just right,5.0,9,72499,34.0,0.85
454,,,fit,67.0,,125442,just right,4.0,7,252685,,0.8475235268649493
456,38.0,b,fit,65.07546831585552,,125442,just right,5.0,7,968605,,0.8475235268649493
459,32.0,d,fit,68.0,34.0,125442,just right,4.0,5,562536,29.0,0.8529411764705882
461,36.0,dd/e,fit,62.0,40.0,125442,just right,4.0,13,444863,34.0,0.85
462,34.0,c,fit,66.0,,125442,just right,4.0,5,74754,,0.8475235268649493
463,32.0,c,fit,64.0,36.0,125442,just right,4.0,5,428161,31.0,0.8611111111111112
464,32.0,h,fit,60.0,34.0,125442,just right,4.0,11,390509,29.0,0.8529411764705882
467,34.0,c,fit,66.0,,125442,just right,4.0,7,225453,,0.8475235268649493
468,34.0,c,fit,40.0,35.0,125442,just right,5.0,5,536627,30.0,0.8571428571428571
469,34.0,b,fit,67.0,39.0,125442,just right,4.0,9,402317,33.0,0.8461538461538461
471,32.0,b,fit,64.0,,125442,just right,5.0,5,626923,,0.8475235268649493
472,32.0,b,fit,63.0,,125442,just right,5.0,5,697265,,0.8475235268649493
473,34.0,b,fit,62.0,,125442,just right,4.0,5,554973,,0.8475235268649493
480,38.0,dd/e,fit,68.0,52.0,125442,just right,4.0,27,929655,44.0,0.8461538461538461
481,32.0,dd/e,fit,62.0,38.0,125442,just right,5.0,5,485669,32.0,0.8421052631578947
482,38.0,c,fit,63.0,38.0,125442,just right,5.0,11,854277,32.0,0.8421052631578947
483,32.0,b,fit,67.0,35.0,125442,just right,4.0,7,188114,30.0,0.8571428571428571
485,34.0,d,fit,64.0,38.0,125442,just right,4.0,7,501316,32.0,0.8421052631578947
488,36.0,a,fit,61.0,,125442,just right,4.0,7,283873,,0.8475235268649493
489,38.0,dd/e,fit,64.0,35.0,125442,just right,4.0,24,891082,30.0,0.8571428571428571
491,34.0,b,fit,66.0,39.0,125442,just right,5.0,7,805455,33.0,0.8461538461538461
496,42.0,d,fit,64.0,,125442,just right,4.0,15,971724,,0.8475235268649493
500,36.0,b,fit,66.0,38.0,125442,just right,5.0,7,717149,32.0,0.8421052631578947
501,36.0,c,fit,65.0,38.0,125442,just right,5.0,7,388210,32.0,0.8421052631578947
503,34.0,c,fit,67.0,32.0,125442,just right,5.0,5,828823,27.0,0.84375
505,34.0,,fit,67.0,37.0,125442,just right,4.0,9,279469,31.0,0.8378378378378378
506,32.0,c,fit,68.0,33.0,125442,just right,5.0,5,891245,28.0,0.8484848484848485
507,34.0,dd/e,fit,64.0,41.0,125442,just right,5.0,9,775412,35.0,0.8536585365853658
508,36.0,dd/e,fit,67.0,41.0,125442,just right,4.0,13,826863,35.0,0.8536585365853658
509,36.0,c,fit,60.0,,125442,just right,5.0,9,745828,,0.8475235268649493
511,34.0,c,fit,64.0,41.0,125442,just right,5.0,7,362960,35.0,0.8536585365853658
517,34.0,c,fit,64.0,39.0,125442,just right,4.0,7,250908,33.0,0.8461538461538461
518,,,fit,62.0,,125442,just right,4.0,5,520998,,0.8475235268649493
525,34.0,b,fit,64.0,,125442,just right,5.0,7,74668,,0.8475235268649493
526,36.0,d,fit,61.0,40.0,125442,just right,4.0,9,215094,34.0,0.85
529,36.0,c,fit,68.0,,125442,just right,5.0,9,55826,,0.8475235268649493
531,34.0,d,fit,68.0,30.0,125442,just right,4.0,9,242228,26.0,0.8666666666666667
534,32.0,b,fit,64.0,39.0,125442,just right,4.0,5,697759,33.0,0.8461538461538461
535,32.0,c,fit,64.0,37.0,125442,just right,5.0,7,117999,31.0,0.8378378378378378
537,32.0,d,fit,67.0,,125442,just right,4.0,5,9141,,0.8475235268649493
538,36.0,d,fit,69.0,44.0,125442,just right,5.0,15,664790,37.0,0.8409090909090909
540,34.0,d,fit,61.0,,125442,just right,4.0,5,858577,,0.8475235268649493
543,34.0,dd/e,fit,65.07546831585552,,125442,just right,4.0,9,412182,,0.8475235268649493
544,,,fit,65.0,41.0,125442,just right,5.0,9,200397,35.0,0.8536585365853658
546,32.0,a,fit,65.0,35.0,125442,just right,5.0,5,315129,30.0,0.8571428571428571
547,36.0,b,fit,62.0,,125442,just right,4.0,9,770823,,0.8475235268649493
555,32.0,d,fit,61.0,,125442,just right,5.0,5,733670,,0.8475235268649493
556,36.0,b,fit,71.0,42.0,125442,just right,5.0,7,620278,36.0,0.8571428571428571
559,44.0,c,fit,62.0,46.0,125442,just right,4.0,24,778032,39.0,0.8478260869565217
562,40.0,d,fit,66.0,,125442,just right,4.0,18,70209,,0.8475235268649493
563,34.0,d,fit,65.0,41.0,125442,just right,5.0,7,30212,35.0,0.8536585365853658
564,34.0,b,fit,62.0,38.0,125442,just right,4.0,7,258371,32.0,0.8421052631578947
568,34.0,c,fit,66.0,37.0,125442,just right,5.0,9,513085,31.0,0.8378378378378378
569,34.0,b,fit,63.0,,125442,just right,5.0,5,29162,,0.8475235268649493
570,34.0,d,fit,67.0,37.0,125442,just right,5.0,9,108907,31.0,0.8378378378378378
575,40.0,d,fit,66.0,,125442,just right,4.0,24,41416,,0.8475235268649493
578,34.0,a,fit,67.0,38.0,125442,just right,5.0,7,41115,32.0,0.8421052631578947
579,34.0,c,fit,68.0,35.0,125442,just right,4.0,5,690496,30.0,0.8571428571428571
581,34.0,h,fit,64.0,38.0,125442,just right,4.0,7,687726,32.0,0.8421052631578947
582,32.0,dd/e,fit,64.0,,125442,just right,5.0,7,389015,,0.8475235268649493
585,36.0,c,fit,63.0,36.0,125442,just right,5.0,7,578045,31.0,0.8611111111111112
586,34.0,c,fit,67.0,,125442,just right,5.0,7,184372,,0.8475235268649493
589,,,fit,61.0,,125442,just right,5.0,5,825889,,0.8475235268649493
590,34.0,dd/e,fit,63.0,37.0,125442,just right,4.0,9,931466,31.0,0.8378378378378378
593,34.0,d,fit,61.0,36.0,125442,just right,5.0,7,244104,31.0,0.8611111111111112
594,,,fit,61.0,,125442,just right,4.0,5,54830,,0.8475235268649493
595,34.0,d,fit,66.0,35.0,125442,just right,5.0,7,148981,30.0,0.8571428571428571
597,,,fit,64.0,,125442,just right,4.0,9,662509,,0.8475235268649493
599,34.0,b,fit,63.0,,125442,just right,5.0,7,211607,,0.8475235268649493
600,,,fit,62.0,,125442,just right,5.0,5,622077,,0.8475235268649493
601,34.0,d,fit,63.0,38.0,125442,just right,4.0,7,664542,32.0,0.8421052631578947
603,36.0,c,fit,64.0,41.0,125442,just right,5.0,11,790794,35.0,0.8536585365853658
604,34.0,b,fit,61.0,34.0,125442,just right,5.0,5,883782,29.0,0.8529411764705882
605,32.0,b,fit,63.0,30.0,125442,just right,5.0,5,854776,26.0,0.8666666666666667
607,34.0,c,fit,66.0,,125442,just right,4.0,11,810668,,0.8475235268649493
612,32.0,dd/e,fit,64.0,,125442,just right,5.0,5,175398,,0.8475235268649493
620,32.0,ddd/f,fit,66.0,38.0,125442,just right,4.0,7,828668,32.0,0.8421052631578947
621,32.0,d,fit,65.0,,125442,just right,5.0,13,890463,,0.8475235268649493
625,32.0,b,fit,63.0,32.0,125442,just right,4.0,5,206848,27.0,0.84375
628,38.0,dd/e,fit,63.0,52.0,125442,just right,5.0,24,969298,44.0,0.8461538461538461
635,34.0,dd/e,fit,63.0,40.0,125442,just right,5.0,7,479165,34.0,0.85
636,36.0,dd/e,fit,62.0,39.0,125442,just right,4.0,11,500707,33.0,0.8461538461538461
639,38.0,ddd/f,fit,65.0,35.0,125442,just right,5.0,11,475935,30.0,0.8571428571428571
642,36.0,c,fit,64.0,38.0,125442,just right,5.0,9,985083,32.0,0.8421052631578947
643,36.0,c,fit,67.0,35.0,125442,just right,5.0,9,862297,30.0,0.8571428571428571
644,32.0,b,fit,65.0,30.0,125442,just right,4.0,9,73312,26.0,0.8666666666666667
645,34.0,d,fit,64.0,36.0,125442,just right,5.0,7,723543,31.0,0.8611111111111112
646,36.0,b,fit,63.0,41.0,125442,just right,5.0,9,772015,35.0,0.8536585365853658
650,36.0,b,fit,68.0,38.0,125442,just right,5.0,7,840040,32.0,0.8421052631578947
651,32.0,b,fit,63.0,,125442,just right,5.0,5,233616,,0.8475235268649493
652,36.0,c,fit,63.0,36.0,125442,just right,5.0,9,604561,31.0,0.8611111111111112
653,34.0,c,fit,65.0,,125442,just right,4.0,9,836260,,0.8475235268649493
654,34.0,a,fit,66.0,40.0,125442,just right,4.0,7,750038,34.0,0.85
657,32.0,ddd/f,fit,66.0,41.0,125442,just right,5.0,13,450760,35.0,0.8536585365853658
659,36.0,c,fit,62.0,36.0,125442,just right,5.0,9,704147,31.0,0.8611111111111112
660,36.0,b,fit,70.0,41.0,125442,just right,5.0,9,280784,35.0,0.8536585365853658
663,38.0,ddd/f,fit,64.0,47.0,125442,just right,5.0,21,844760,40.0,0.851063829787234
666,36.0,ddd/f,fit,65.0,50.0,125442,just right,5.0,18,789886,42.0,0.84
668,34.0,b,fit,69.0,34.0,125442,just right,5.0,5,148267,29.0,0.8529411764705882
672,34.0,a,fit,66.0,40.0,125442,just right,5.0,5,820699,34.0,0.85
674,34.0,c,fit,61.0,34.0,125442,just right,5.0,7,458607,29.0,0.8529411764705882
677,32.0,c,fit,66.0,36.0,125442,just right,5.0,7,58201,31.0,0.8611111111111112
678,34.0,b,fit,62.0,33.0,125442,just right,4.0,5,850954,28.0,0.8484848484848485
680,36.0,b,fit,64.0,38.0,125442,just right,5.0,9,512804,32.0,0.8421052631578947
682,32.0,c,fit,58.0,,125442,just right,5.0,5,985375,,0.8475235268649493
684,34.0,c,fit,61.0,36.0,125442,just right,4.0,7,117817,31.0,0.8611111111111112
686,32.0,b,fit,67.0,37.0,125442,just right,4.0,5,429290,31.0,0.8378378378378378
687,34.0,ddd/f,fit,61.0,,125442,just right,4.0,13,112181,,0.8475235268649493
689,34.0,c,fit,69.0,,125442,just right,5.0,7,148548,,0.8475235268649493
690,36.0,dd/e,fit,68.0,40.0,125442,just right,5.0,13,100981,34.0,0.85
691,44.0,dd/e,fit,67.0,30.0,125442,just right,5.0,18,633058,26.0,0.8666666666666667
692,34.0,b,fit,63.0,,125442,just right,5.0,5,309982,,0.8475235268649493
694,36.0,c,fit,68.0,42.0,125442,just right,5.0,11,897280,36.0,0.8571428571428571
696,34.0,b,fit,68.0,35.0,125442,just right,4.0,7,430689,30.0,0.8571428571428571
697,32.0,c,fit,61.0,36.0,125442,just right,5.0,5,965509,31.0,0.8611111111111112
698,36.0,b,fit,60.0,37.0,125442,just right,5.0,11,268935,31.0,0.8378378378378378
699,32.0,b,fit,64.0,31.0,125442,just right,5.0,5,14957,26.0,0.8387096774193549
702,36.0,c,fit,61.0,36.0,125442,just right,5.0,7,799832,31.0,0.8611111111111112
704,38.0,d,fit,61.0,,125442,just right,4.0,11,961101,,0.8475235268649493
706,34.0,c,fit,64.0,,125442,just right,5.0,5,558922,,0.8475235268649493
708,32.0,a,fit,65.0,35.0,125442,just right,5.0,5,923998,30.0,0.8571428571428571
709,32.0,d,fit,60.0,,125442,just right,5.0,7,207883,,0.8475235268649493
711,32.0,c,fit,65.0,38.0,125442,just right,5.0,7,493334,32.0,0.8421052631578947
717,30.0,ddd/f,fit,64.0,32.0,125442,just right,5.0,5,807044,27.0,0.84375
719,36.0,c,fit,69.0,,125442,just right,5.0,7,457967,,0.8475235268649493
721,32.0,c,fit,59.0,38.0,125442,just right,4.0,9,61831,32.0,0.8421052631578947
